match_id,EndID,TeamID,score_diff,PowerPlay,has_hammer,ends_remaining,won,wp_pred,wp_next,wp_end,wpa,pressure_situation,leverage_score,pressure_leverage,pressure_combined,Result
0_6_1,3,22,-5,1,TRUE,6,0,0.04273540821033724,0.022645636887066667,0.022645636887066667,-0.020089771323270576,low,0.08547081642067444,low,low,1
22230015_14_3,3,23,-3,1,TRUE,6,0,0.15641216115095655,0.10436946783880782,0.10436946783880782,-0.052042693312148725,medium,0.31282432230191315,low,medium,1
23240026_7_2,3,51,-5,1,TRUE,6,0,0.04273540821033724,0.005985265983306833,0.005985265983306833,-0.03675014222703041,low,0.08547081642067444,low,low,0
23240026_8_5,3,43,-5,1,TRUE,6,0,0.04273540821033724,0.013313610726943596,0.013313610726943596,-0.029421797483393648,low,0.08547081642067444,low,low,0
24250026_1_4,3,12,-4,1,TRUE,6,0,0.08339328267249134,0.04939560930367902,0.04939560930367902,-0.03399767336881232,low,0.1667865653449827,low,low,1
24250026_13_5,3,12,-4,1,TRUE,6,0,0.08339328267249134,0.013313610726943596,0.013313610726943596,-0.07007967194554775,low,0.1667865653449827,low,low,0
24250026_14_3,3,51,-5,1,TRUE,6,0,0.04273540821033724,0.04939560930367902,0.04939560930367902,0.006660201093341776,low,0.08547081642067444,low,low,2
0_4_4,4,46,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
22230015_6_3,4,15,-4,1,TRUE,5,0,0.06345933605450786,0.08137635303088364,0.08137635303088364,0.01791701697637578,low,0.12691867210901575,low,low,2
22230015_7_5,4,36,-6,1,TRUE,5,0,0.013313610726943596,0.034680613059015236,0.034680613059015236,0.02136700233207164,low,0.026627221453887184,low,low,3
22230015_16_2,4,51,-4,1,TRUE,5,0,0.06345933605450786,0.08137635303088364,0.08137635303088364,0.01791701697637578,low,0.12691867210901575,low,low,2
22230015_41_1,4,14,-5,1,TRUE,5,0,0.029349826457140904,0.034680613059015236,0.034680613059015236,0.005330786601874332,low,0.05869965291428181,low,low,2
23240026_4_2,4,22,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_2_1,4,34,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_3_2,4,15,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_4_3,4,34,-7,1,TRUE,5,0,0.005985265983306833,0.005874450446001979,0.005874450446001979,-1.108155373048536e-4,low,0.011970531966613684,low,low,2
24250026_5_5,4,44,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_6_1,4,51,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_9_2,4,11,-5,1,TRUE,5,0,0.029349826457140904,0.014361132671518279,0.014361132671518279,-0.014988693785622625,low,0.05869965291428181,low,low,1
24250026_45_1,4,51,-6,1,TRUE,5,0,0.013313610726943596,0.003361610266707005,0.003361610266707005,-0.009952000460236591,low,0.026627221453887184,low,low,0
0_8_3,5,10,-4,1,TRUE,4,0,0.04804057261215311,0.02423745892111388,0.02423745892111388,-0.02380311369103923,low,0.09608114522430622,low,low,1
0_9_2,5,43,-3,1,TRUE,4,0,0.11059812682172285,0.15437835127771987,0.15437835127771987,0.043780224455997024,medium,0.22119625364344575,low,medium,2
0_10_2,5,27,-3,1,TRUE,4,1,0.11059812682172285,0.33107246355147907,0.33107246355147907,0.22047433672975622,medium,0.22119625364344575,low,medium,3
0_49_1,5,17,-4,1,TRUE,4,0,0.04804057261215311,0.02423745892111388,0.02423745892111388,-0.02380311369103923,low,0.09608114522430622,low,low,1
22230015_1_3,5,14,-5,1,TRUE,4,0,0.020068977558709754,0.02423745892111388,0.02423745892111388,0.004168481362404126,low,0.040137955117419466,low,low,2
22230015_3_1,5,24,-4,1,TRUE,4,0,0.04804057261215311,0.01368150448927915,0.01368150448927915,-0.03435906812287396,low,0.09608114522430622,low,low,0
22230015_3_2,5,36,-5,1,TRUE,4,0,0.020068977558709754,0.02423745892111388,0.02423745892111388,0.004168481362404126,low,0.040137955117419466,low,low,2
