match_id,EndID,TeamID,ShotID,shot_type,Points,pressure_combined
0_1_1,6,27,8,Draw/Offense,3,medium
0_1_1,6,27,16,Takeout,3,medium
0_1_1,6,27,18,Draw/Offense,2,medium
0_1_1,6,27,20,Draw/Offense,3,medium
0_1_1,6,27,22,Draw/Offense,4,medium
0_1_1,7,19,8,Draw/Offense,4,very_high
0_1_1,7,19,16,Takeout,0,very_high
0_1_1,7,19,18,Takeout,0,very_high
0_1_1,7,19,20,Takeout,2,very_high
0_1_1,7,19,22,Draw/Offense,0,very_high
0_1_3,6,17,8,Draw/Offense,3,medium
0_1_3,6,17,16,Takeout,4,medium
0_1_3,6,17,18,Takeout,4,medium
0_1_3,6,17,20,Draw/Offense,4,medium
0_1_3,6,17,22,Takeout,4,medium
0_1_3,7,22,8,Draw/Offense,4,high
0_1_3,7,22,16,Draw/Offense,4,high
0_1_3,7,22,18,Takeout,4,high
0_1_3,7,22,20,Takeout,4,high
0_1_3,7,22,22,Draw/Offense,1,high
0_1_4,6,18,8,Draw/Offense,3,medium
0_1_4,6,18,16,Draw/Offense,0,medium
0_1_4,6,18,18,Takeout,0,medium
0_1_4,6,18,20,Draw/Offense,4,medium
0_1_4,6,18,22,Draw/Offense,4,medium
0_2_1,6,46,8,Draw/Offense,4,medium
0_2_1,6,46,16,Draw/Offense,3,medium
0_2_1,6,46,18,Draw/Offense,4,medium
0_2_1,6,46,20,Guard/Setup,2,medium
0_2_1,6,46,22,Draw/Offense,4,medium
0_2_1,7,43,8,Guard/Setup,0,very_high
0_2_1,7,43,16,Draw/Offense,4,very_high
0_2_1,7,43,18,Draw/Offense,2,very_high
0_2_1,7,43,20,Draw/Offense,4,very_high
0_2_1,7,43,22,Takeout,4,very_high
0_2_3,6,24,8,Draw/Offense,4,medium
0_2_3,6,24,16,Takeout,4,medium
0_2_3,6,24,18,Takeout,0,medium
0_2_3,6,24,20,Takeout,4,medium
0_2_3,6,24,22,Takeout,0,medium
0_2_4,6,10,8,Draw/Offense,4,medium
0_2_4,6,10,16,Draw/Offense,4,medium
0_2_4,6,10,18,Draw/Offense,4,medium
0_2_4,6,10,20,Draw/Offense,2,medium
0_2_4,6,10,22,Takeout,4,medium
0_2_4,7,27,8,Draw/Offense,4,very_high
0_2_4,7,27,16,Takeout,2,very_high
0_2_4,7,27,18,Draw/Offense,0,very_high
0_2_4,7,27,20,Draw/Offense,4,very_high
0_2_4,7,27,22,Draw/Offense,4,very_high
0_3_1,6,18,8,Draw/Offense,3,medium
0_3_1,6,18,16,Draw/Offense,3,medium
0_3_1,6,18,18,Draw/Offense,2,medium
0_3_1,6,18,20,Takeout,4,medium
0_3_1,6,18,22,Takeout,2,medium
0_3_2,7,20,8,Draw/Offense,4,very_high
0_3_2,7,20,16,Draw/Offense,3,very_high
0_3_2,7,20,18,Draw/Offense,4,very_high
0_3_2,7,20,20,Takeout,0,very_high
0_3_2,7,20,22,Draw/Offense,0,very_high
0_4_1,7,17,8,Draw/Offense,3,very_high
0_4_1,7,17,16,Draw/Offense,3,very_high
0_4_1,7,17,18,Takeout,4,very_high
0_4_1,7,17,20,Takeout,2,very_high
0_4_1,7,17,22,Draw/Offense,4,very_high
0_4_4,4,46,8,Draw/Offense,4,low
0_4_4,4,46,16,Takeout,2,low
0_4_4,4,46,18,Takeout,4,low
0_4_4,4,46,20,Draw/Offense,3,low
0_4_4,4,46,22,Draw/Offense,3,low
0_5_1,6,46,8,Draw/Offense,4,medium
0_5_1,6,46,16,Draw/Offense,2,medium
0_5_1,6,46,18,Draw/Offense,3,medium
0_5_1,6,46,20,Draw/Offense,3,medium
0_5_1,6,46,22,Draw/Offense,4,medium
0_5_1,7,19,8,Draw/Offense,4,very_high
0_5_1,7,19,16,Takeout,4,very_high
0_5_1,7,19,18,Draw/Offense,2,very_high
0_5_1,7,19,20,Takeout,4,very_high
0_5_1,7,19,22,Draw/Offense,4,very_high
0_5_2,6,18,8,Draw/Offense,3,medium
0_5_2,6,18,16,Draw/Offense,4,medium
